"order","family","genus","species","spawningMode","source"
"Pleuronectiformes","Soleidae","Microchirus","Microchirus variegatus","pelagic","http://www.fishbase.org/summary/Microchirus-variegatus"
"Pleuronectiformes","Soleidae","Solea","Solea solea","pelagic","http://www.fishbase.org/summary/Solea-solea"
"Scorpaeniformes","Agonidae","Leptagonus","Leptagonus decagonus","demersal","http://species-identification.org/species.php?species_group=fnam&id=2149"
"Scorpaeniformes","Congiopodidae","Zanclorhynchus","Zanclorhynchus spinifer","pelagic","NA"
"Scorpaeniformes","Cottidae","Artediellus","Artediellus atlanticus","demersal","NA"
"Scorpaeniformes","Cottidae","Artedius","Artedius lateralis","demersal","NA"
"Scorpaeniformes","Cottidae","Clinocottus","Clinocottus analis","demersal","NA"
"Scorpaeniformes","Cottidae","Enophrys","Enophrys bison","demersal","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Scorpaeniformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis","demersal","NA"
"Scorpaeniformes","Cottidae","Icelinus","Icelinus quadriseriatus","demersal","NA"
"Scorpaeniformes","Cottidae","Icelus","Icelus bicornis","demersal","NA"
"Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus","demersal","http://www.fishbase.org/summary/Myoxocephalus-octodecemspinosus"
"Scorpaeniformes","Cottidae","Oligocottus","Oligocottus maculosus","demersal","NA"
"Scorpaeniformes","Cottidae","Orthonopias","Orthonopias triacis","demersal","NA"
"Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","pelagic","NA"
"Scorpaeniformes","Cottidae","Triglops","Triglops pingelii","demersal","NA"
"Scorpaeniformes","Cyclopteridae","Cyclopteropsis","Cyclopteropsis mcalpini","demersal","NA"
"Scorpaeniformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","demersal","NA"
"Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus","demersal","http://www.fishbase.org/summary/Hemitripterus-americanus"
"Scorpaeniformes","Hexagrammidae","Oxylebius","Oxylebius pictus","demersal","NA"
"Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti","demersal","NA"
"Scorpaeniformes","Liparidae","Liparis","Liparis fabricii","demersal","NA"
"Scorpaeniformes","Liparidae","Paraliparis","Paraliparis bathybius","mouth brooder","NA"
"Scorpaeniformes","Liparidae","Paraliparis","Paraliparis gracilis","demersal","NA"
"Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena guttata","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Scorpaeniformes","Sebastidae","Sebastes","Sebastes mentella","internal brooding","Wourms J. P. 1991 Environ Biol Fish 30 111–126"
"Scorpaeniformes","Sebastidae","Sebastes","Sebastes norvegicus","internal brooding","Wourms J. P. 1991 Environ Biol Fish 30 111–126"
"Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus altivelis","pelagic","http://www.fishbase.org/summary/Sebastolobus-altivelis"
"Scorpaeniformes","Triglidae","Eutrigla","Eutrigla gurnardus","pelagic","http://www.fishbase.org/summary/Eutrigla-gurnardus"
"Scorpaeniformes","Triglidae","Prionotus","Prionotus carolinus","pelagic","http://www.fishbase.org/summary/Prionotus-carolinus"
"Scorpaeniformes","Triglidae","Prionotus","Prionotus evolans","pelagic","http://www.fishbase.org/summary/Prionotus-evolans"
"Syngnathiformes","Syngnathidae","Entelurus","Entelurus aequoreus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus guttulatus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus hippocampus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus kuda","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus trimaculatus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Micrognathus","Micrognathus crinitus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Nerophis","Nerophis exilis","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Nerophis","Nerophis lumbriciformis","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Nerophis","Nerophis maculatus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Nerophis","Nerophis ophidion","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus abaster","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus acus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus floridae","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus louisianae","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus phlegon","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus rostellatus","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus scovelli","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus typhle","pouch brooder","http://www.fishbase.org/summary/FamilySummary.php?ID=258"
"Tetraodontiformes","Balistidae","Balistapus","Balistapus undulatus","scatterer","assumed to be the same as all Balistidae"
"Tetraodontiformes","Balistidae","Balistes","Balistes capriscus","scatterer","assumed to be the same for all Balistidae"
"Tetraodontiformes","Balistidae","Pseudobalistes","Pseudobalistes flavimarginatus","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Balistidae","Rhinecanthus","Rhinecanthus aculeatus","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Balistidae","Xanthichthys","Xanthichthys mento","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Diodontidae","Diodon","Diodon holocanthus","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Diodontidae","Diodon","Diodon hystrix","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Molidae","Ranzania","Ranzania laevis","pelagic","NA"
"Tetraodontiformes","Monacanthidae","Brachaluteres","Brachaluteres jacksonianus","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Monacanthidae","Eubalichthys","Eubalichthys bucephalus","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Monacanthidae","Meuschenia","Meuschenia scaber","scatterer","assumed to be the same for all Monacanthidae"
"Tetraodontiformes","Monacanthidae","Oxymonacanthus","Oxymonacanthus longirostris","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Monacanthidae","Paramonacanthus","Paramonacanthus japonicus","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Monacanthidae","Rudarius","Rudarius ercodes","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion polygonius","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Ostraciidae","Lactoria","Lactoria diaphana","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Ostraciidae","Lactoria","Lactoria fornasini","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Ostraciidae","Ostracion","Ostracion meleagris","pelagic","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
"Tetraodontiformes","Tetraodontidae","Canthigaster","Canthigaster valentini","scatterer","Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1"
