"Order","Family","Genus","Species","spawningMode","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnSize","lnEggSize","absLatitude"
"Aulopiformes","Synodontidae","Synodus","Synodus intermedius","pelagic",NA,"",1.43,"",NA,"La parguera reef, Puerto Rico","1976 - 1980","",TRUE,TRUE,17.908216,-66.955954,"colin_pl_1988_b43_249.pdf",NA,0.357674444271816,17.908216
"Batrachoidiformes","Batrachoididae","Porichthys","Porichthys notatus","demersal",NA,"",6,"Field",NA,"Mussel Point, Monterey Bay, CA, USA","Before 1948","",TRUE,TRUE,36.657246,-121.905175,"arora_hl_1949_c1948_89.pdf",NA,1.79175946922805,36.657246
"Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon pinnatibarbatus","pelagic",NA,"",2.2,"Field",NA,"Off Scripps Institution of Oceanography","1931 July","",TRUE,TRUE,32.868733,-117.258539,"barnhart_ps_1932_b3_87.pdf",NA,0.78845736036427,32.868733
"Beloniformes","Exocoetidae","Hirundichthys","Hirundichthys affinis","demersal",277.27,"TL",2.5,"",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.62499176068914,0.916290731874155,5.750962
"Beloniformes","Hemiramphidae","Hemiramphus","Hemiramphus brasiliensis","demersal",330,"TL",0.8,"",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.79909265446053,-0.22314355131421,5.750962
"Beloniformes","Hemiramphidae","Hyporhamphus","Hyporhamphus quoyi","pelagic",NA,"",2.4,"Field",NA,"Mandapam, Gulf of Mannar, Tamil Nadu, India","1959 April","",TRUE,TRUE,9.127816,79.466155,"sudarsan_d_1966_j8_342.pdf",NA,0.8754687373539,9.127816
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.52,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-33.088333,-73.34167,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.924258901523332,33.088333
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.52,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-28.51,-72.72,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.924258901523332,28.51
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.44,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-6.583333,-85.14167,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.89199803930511,6.583333
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.43,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-28.503333,-71.66833,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.887891257352457,28.503333
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.36,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-23.708333,-71.58333,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.858661619037519,23.708333
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.35,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-14.296667,-83.06167,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.854415328156068,14.296667
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.34,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-18.46,-73.10167,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.85015092936961,18.46
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.34,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-12.941667,-79.46333,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.85015092936961,12.941667
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.34,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-10.15,-82.14167,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.85015092936961,10.15
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.34,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-9.833333,-80.88333,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.85015092936961,9.833333
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.33,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-20.15,-70.53,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.845868267577609,20.15
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.32,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-18.533333,-71.7,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.841567185678219,18.533333
"Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus","pelagic",NA,"",2.32,"",NA,"off coastal Chile","1967 August - September","",TRUE,FALSE,-20.18,-71.55333,"ahlstrom_eh_1972_f70_1153.pdf",NA,0.841567185678219,20.18
"Clupeiformes","Clupeidae","Alosa","Alosa mediocris","demersal",391.16,"TL",1.49,"Field",NA,"Mouth of Patuxent River, Chesapeake Bay, MD, USA","1956 May","",TRUE,TRUE,38.321696,-76.352532,"mansueti_rj_1962_c3_173.pdf",5.96911668344407,0.398776119957368,38.321696
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","pelagic",200,"TL",1.29,"Field/Lab",2,"Gulf Breeze, Florida, USA","1981 September","",TRUE,FALSE,30.279252,-87.199144,"hettler_wf_1984_f82_85.pdf",5.29831736654804,0.254642218373581,30.279252
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia patronus","pelagic",178,"TL",1.2,"Field/Lab",2,"Gulf Breeze, Florida, USA","1982 December","",TRUE,TRUE,30.279252,-87.199144,"hettler_wf_1984_f82_85.pdf",5.18178355029209,0.182321556793955,30.279252
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","pelagic",NA,"",1.61,"",NA,"Long Island Sound USA","1952 March - 1954 March","",TRUE,FALSE,41.103919,-72.908416,"wheatland_sb_1956_b15_234.pdf",NA,0.476234178996372,41.103919
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","pelagic",NA,"",1.73,"",NA,"Long Island Sound USA","1954 May - July","47",TRUE,TRUE,41.103919,-72.908416,"richards_sw_1959_b17_95.pdf",NA,0.548121408509688,41.103919
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","pelagic",NA,"",1.515,"",NA,"Long Island Sound USA","1954 August - December","31",TRUE,TRUE,41.103919,-72.908416,"richards_sw_1959_b17_95.pdf",NA,0.415415438961332,41.103919
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","pelagic",NA,"",1.665,"",NA,"Long Island Sound USA","1955 June - July","10",TRUE,TRUE,41.103919,-72.908416,"richards_sw_1959_b17_95.pdf",NA,0.509825123432407,41.103919
"Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","pelagic",NA,"",1.55,"",NA,"Long Island Sound USA","1955 October","24",TRUE,TRUE,41.103919,-72.908416,"richards_sw_1959_b17_95.pdf",NA,0.438254930931155,41.103919
"Clupeiformes","Clupeidae","Clupea","Clupea pallasii","demersal",NA,"",1.374611888,"",NA,"Lambert Channel - Nanoose Bay","1974","",FALSE,FALSE,49.459026,-124.51198,"tanasichuk_rw_1987_c44_1485.pdf",NA,0.318171428002032,49.459026
"Clupeiformes","Clupeidae","Clupea","Clupea pallasii","demersal",NA,"",1.350611249,"",NA,"Lambert Channel - Nanoose Bay","1980","",FALSE,FALSE,49.459026,-124.51198,"tanasichuk_rw_1987_c44_1485.pdf",NA,0.300557267014783,49.459026
